code,name,industry,outstanding,totals,timeToMarket
600706,曲江文旅,旅游服务,1.78,1.8,19960516
300579,数字认证,软件服务,0.43,1.2,20161223
002575,群兴玩具,文教休闲,5.89,5.89,20110422
000607,华媒控股,广告包装,8.85,10.18,19960830
300141,和顺电气,电气设备,1.63,2.55,20101112
300437,清水源,化工原料,1.27,2.18,20150423
002519,银河电子,通信设备,8.32,11.26,20101207
601155,新城控股,区域地产,7.19,22.57,20151204
002927,泰永长征,电气设备,0.3,1.22,20180223
600793,宜宾纸业,造纸,1.05,1.05,19970220
601098,中南传媒,出版业,17.96,17.96,20101028
300368,汇金股份,专用机械,2.62,5.38,20140123
002797,第一创业,证券,19.18,35.02,20160511
300515,三德科技,电器仪表,0.91,2.0,20160608
300467,迅游科技,互联网,1.16,2.27,20150527
600570,恒生电子,软件服务,6.18,6.18,20031216
601169,北京银行,银行,182.48,211.43,20070919
002800,天顺股份,仓储物流,0.35,0.75,20160530
600029,南方航空,空运,70.23,100.88,20030725
300293,蓝英装备,专用机械,2.7,2.7,20120308
300645,正元智慧,软件服务,0.45,0.67,20170421
600864,哈投股份,火力发电,15.78,21.09,19940809
300571,平治信息,互联网,0.69,1.2,20161213
002684,猛狮科技,电气设备,3.9,5.67,20120612
603633,徕木股份,元器件,0.83,1.2,20161117
300245,天玑科技,软件服务,2.17,3.13,20110719
300150,世纪瑞尔,软件服务,4.5,5.85,20101222
600866,星湖科技,食品,6.45,6.45,19940818
300471,厚普股份,专用机械,2.74,3.71,20150611
300572,安车检测,电器仪表,0.56,1.21,20161206
300074,华平股份,通信设备,4.72,5.43,20100427
002570,*ST因美,乳制品,10.22,10.23,20110412
002292,奥飞娱乐,影视音像,7.63,13.57,20090910
603638,艾迪精密,专用机械,0.85,2.6,20170120
600191,华资实业,食品,4.85,4.85,19981210
600702,舍得酒业,白酒,3.37,3.37,19960524
300532,今天国际,软件服务,1.2,2.77,20160818
603986,兆易创新,半导体,2.07,2.84,20160818
603766,隆鑫通用,摩托车,20.94,21.13,20120810
002371,北方华创,专用机械,3.59,4.58,20100316
300223,北京君正,半导体,1.2,2.01,20110531
300164,通源石油,石油开采,3.17,4.51,20110113
300648,星云股份,电器仪表,0.54,1.35,20170425
600438,通威股份,饲料,27.82,38.82,20040302
000997,新 大 陆,软件服务,9.31,10.11,20000807
600539,*ST狮头,水泥,2.3,2.3,20010824
300276,三丰智能,专用机械,2.0,5.48,20111115
300019,硅宝科技,化工原料,2.71,3.31,20091030
002509,天广中茂,专用机械,16.45,24.92,20101123
002439,启明星辰,软件服务,5.75,8.97,20100623
002405,四维图新,软件服务,10.34,13.09,20100518
002624,完美世界,影视音像,4.66,13.15,20111028
000428,华天酒店,酒店餐饮,7.19,10.19,19960808
300618,寒锐钴业,小金属,1.14,1.92,20170306
300335,迪森股份,供气供热,2.65,3.63,20120710
300423,鲁亿通,电气设备,1.07,2.91,20150217
300126,锐奇股份,轻工机械,2.11,3.04,20101013
300557,理工光科,电器仪表,0.34,0.56,20161101
600741,华域汽车,汽车配件,28.67,31.53,19960826
601208,东材科技,化工原料,6.27,6.27,20110520
300086,康芝药业,化学制药,4.36,4.5,20100526
601377,兴业证券,证券,66.97,66.97,20101013
000622,恒立实业,汽车配件,4.25,4.25,19961107
600760,中航沈飞,航空,3.45,13.97,19961011
300231,银信科技,软件服务,3.38,4.42,20110615
002706,良信电器,电气设备,5.47,7.86,20140121
603007,花王股份,建筑施工,1.94,3.41,20160826
603729,龙韵股份,广告包装,0.93,0.93,20150324
603885,吉祥航空,空运,17.97,17.97,20150527
002179,中航光电,元器件,7.82,7.91,20071101
002627,宜昌交运,公共交通,2.25,3.15,20111103
000728,国元证券,证券,29.46,33.65,19970616
300351,永贵电器,元器件,2.39,3.85,20120920
300588,熙菱信息,软件服务,0.75,1.6,20170105
000695,滨海能源,供气供热,2.22,2.22,19970218
603180,金牌厨柜,家居用品,0.18,0.68,20170512
300170,汉得信息,软件服务,6.64,8.73,20110201
600297,广汇汽车,汽车服务,71.51,82.18,20001116
002373,千方科技,软件服务,8.39,14.68,20100318
600602,云赛智联,软件服务,8.8,13.68,19901219
002037,久联发展,化工原料,3.27,3.27,20040908
600969,郴电国际,水力发电,3.7,3.7,20040408
300608,思特奇,软件服务,0.69,1.06,20170213
600346,恒力股份,化纤,9.19,50.53,20010820
002731,萃华珠宝,服饰,1.28,1.51,20141104
002025,航天电器,元器件,4.29,4.29,20040726
002816,和科达,专用机械,0.57,1.0,20161025
002480,新筑股份,机械基件,6.39,6.56,20100921
600114,东睦股份,机械基件,6.28,6.46,20040511
300650,太龙照明,电气设备,0.74,1.07,20170503
000707,*ST双环,化工原料,4.64,4.64,19970415
002809,红墙股份,化工原料,0.6,1.25,20160823
600621,华鑫股份,证券,5.35,10.61,19921202
002737,葵花药业,中成药,5.17,5.84,20141230
603387,基蛋生物,生物制药,0.92,1.86,20170717
002758,华通医药,医药商业,1.79,2.1,20150527
000735,罗 牛 山,农业综合,10.6,11.52,19970611
600306,商业城,百货,1.77,1.78,20001226
300148,天舟文化,出版业,7.64,8.45,20101215
603079,圣达生物,食品,0.28,1.12,20170823
300309,吉艾科技,专用机械,4.33,4.84,20120410
300092,科新机电,专用机械,1.67,2.35,20100708
600615,丰华股份,小金属,1.88,1.88,19920910
300376,易事特,电气设备,22.99,23.3,20140127
000906,浙商中拓,批发业,5.56,6.76,19990707
300044,赛为智能,软件服务,4.68,7.79,20100120
600885,宏发股份,电气设备,7.45,7.45,19960205
603685,晨丰科技,电气设备,0.33,1.3,20171127
300493,润欣科技,通信设备,1.55,3.18,20151210
601226,华电重工,专用机械,11.55,11.55,20141211
002795,永和智控,机械基件,0.64,2.0,20160428
300306,远方信息,电器仪表,1.52,2.87,20120329
600367,红星发展,化工原料,2.91,2.91,20010320
603031,安德利,百货,0.56,1.12,20160822
002554,惠博普,石油开采,8.36,10.71,20110225
002338,奥普光电,电器仪表,2.4,2.4,20100115
300180,华峰超纤,化纤,6.84,11.36,20110222
300285,国瓷材料,陶瓷,4.08,6.42,20120113
601139,深圳燃气,供气供热,28.39,28.78,20091225
600192,长城电工,电气设备,4.42,4.42,19981224
